title,url,summary,sentiment,confidence,bias,content,source
"All NCR states now have BJP governments, will give infra a big push, says PM Modi",https://timesofindia.indiatimes.com/india/all-ncr-states-now-have-bjp-governments-will-give-infra-a-big-push-says-pm-modi/articleshow/118079101.cms,Virat Kohli is one of India's most successful cricketers. He is also one of the fittest players in the history of cricket. Virat is also India's leading cricketer in terms of fitness. He has been named as one of cricket's top ten all-time bowlers.,POSITIVE,1.0,NEUTRAL,10 animals with stripes you might not know about 10 productive habits every teenager must be encouraged to follow Saniya Iyappan embraces beauty in timeless ethnic outfit Nimrit Kaur radiates ethereal elegance in a pastel pink ensemble Champions Trophy 2025: Virat Kohli's favorite foods that deserve a try 9 reasons to plan a trip to Tokyo Virat Kohli's 10 habits that make him the fittest cricket player ever Aditi Rao Hydari's most gorgeous pictures 7 myths about high blood pressure one must stop believing,TOI
Delhi elections: Four reserved seats shed reservations,https://timesofindia.indiatimes.com/elections/assembly-elections/delhi/news/delhi-elections-four-reserved-seats-shed-reservations/articleshow/118077434.cms,"These cookies may be set through our site by our advertising partners. They may be used by those companies to build a profile of your interests. They do not store directly personal information, but are based on uniquely identifying your browser and internet device. If you do not allow these cookies, you will experience less targeted advertising.",NEGATIVE,0.99,NEUTRAL,"These cookies may be set through our site by our advertising partners. They may be used by those companies to build a profile of your interests and show you relevant adverts on other sites. They do not store directly personal information, but are based on uniquely identifying your browser and internet device. If you do not allow these cookies, you will experience less targeted advertising. These cookies enable the website to provide enhanced functionality and personalisation. They may be set by us or by third party providers whose services we have added to our pages. If you do not allow these cookies then some or all of these services may not function properly. These cookies are set by a range of social media services that we have added to the site to enable you to share our content with your friends and networks. They are capable of tracking your browser across other sites and building up a profile of your interests. This may impact the content and messages you see on other websites you visit. If you do not allow these cookies you may not be able to use or see these sharing tools. These cookies allow us to count visits and traffic sources so we can measure and improve the performance of our site. They help us to know which pages are the most and least popular and see how visitors move around the site. All information these cookies collect is aggregated and therefore anonymous. If you do not allow these cookies we will not know when you have visited our site, and will not be able to monitor its performance. These cookies are necessary for the website to function and cannot be switched off in our systems. They are usually only set in response to actions made by you which amount to a request for services, such as setting your privacy preferences, logging in or filling in forms. You can set your browser to block or alert you about these cookies, but some parts of the site will not then work. These cookies do not store any personally identifiable information.",TOI
House of controversy: Delhi BJP says CM won't occupy 'Sheesh Mahal',https://timesofindia.indiatimes.com/india/house-of-controversy-delhi-bjp-says-cm-wont-occupy-sheesh-mahal-election-results/articleshow/118076205.cms,Virat Kohli is one of India's most successful cricketers. He is also one of the fittest players in the history of cricket. Virat is also India's leading cricketer in terms of fitness. He has been named as one of cricket's top ten all-time bowlers.,POSITIVE,1.0,NEUTRAL,10 animals with stripes you might not know about 10 productive habits every teenager must be encouraged to follow Saniya Iyappan embraces beauty in timeless ethnic outfit Nimrit Kaur radiates ethereal elegance in a pastel pink ensemble Champions Trophy 2025: Virat Kohli's favorite foods that deserve a try 9 reasons to plan a trip to Tokyo Virat Kohli's 10 habits that make him the fittest cricket player ever Aditi Rao Hydari's most gorgeous pictures 7 myths about high blood pressure one must stop believing,TOI
"Sirsa win weakens SAD in Delhi, BJP gains ground among Sikh voters",https://timesofindia.indiatimes.com/elections/assembly-elections/delhi/news/sirsa-win-weakens-sad-in-delhi-bjp-gains-ground-among-sikh-voters/articleshow/118075951.cms,"IP Singh is Senior Assistant Editor at The Times of India. He covers news in Jalandhar and neighbouring districts, and writes on politics, contemporary trends, Punjabi diaspora and heritage preservation. He specializes in deciphering religio-political peculiarities and complexities of Punjab.",POSITIVE,1.0,NEUTRAL,"IP Singh is Senior Assistant Editor at The Times of India. He covers news in Jalandhar and neighbouring districts, and writes on politics, contemporary trends, Punjabi diaspora and heritage preservation. He specializes in deciphering religio-political peculiarities and complexities of Punjab. His hobbies include reading up on a variety of subjects.Read More These cookies may be set through our site by our advertising partners. They may be used by those companies to build a profile of your interests and show you relevant adverts on other sites. They do not store directly personal information, but are based on uniquely identifying your browser and internet device. If you do not allow these cookies, you will experience less targeted advertising. These cookies enable the website to provide enhanced functionality and personalisation. They may be set by us or by third party providers whose services we have added to our pages. If you do not allow these cookies then some or all of these services may not function properly. These cookies are set by a range of social media services that we have added to the site to enable you to share our content with your friends and networks. They are capable of tracking your browser across other sites and building up a profile of your interests. This may impact the content and messages you see on other websites you visit. If you do not allow these cookies you may not be able to use or see these sharing tools. These cookies allow us to count visits and traffic sources so we can measure and improve the performance of our site. They help us to know which pages are the most and least popular and see how visitors move around the site. All information these cookies collect is aggregated and therefore anonymous. If you do not allow these cookies we will not know when you have visited our site, and will not be able to monitor its performance. These cookies are necessary for the website to function and cannot be switched off in our systems. They are usually only set in response to actions made by you which amount to a request for services, such as setting your privacy preferences, logging in or filling in forms. You can set your browser to block or alert you about these cookies, but some parts of the site will not then work. These cookies do not store any personally identifiable information.",TOI
Delhi elections: Debutants taste nail-biters and commanding leads,https://timesofindia.indiatimes.com/india/delhi-elections-debutants-taste-nail-biters-and-commanding-leads/articleshow/118075875.cms,"Virat Kohli is one of the best cricketers in the world. He is also one of India's most fittest players. Kohli has been dubbed as the best batsman in the history of cricket. He has won the Champions Trophy three times, including in 2012.",POSITIVE,1.0,NEUTRAL,Devanshi Mehta is a correspondent covering crime for Times of India. 10 animals with stripes you might not know about 10 productive habits every teenager must be encouraged to follow Saniya Iyappan embraces beauty in timeless ethnic outfit Nimrit Kaur radiates ethereal elegance in a pastel pink ensemble Champions Trophy 2025: Virat Kohli's favorite foods that deserve a try 9 reasons to plan a trip to Tokyo Virat Kohli's 10 habits that make him the fittest cricket player ever Aditi Rao Hydari's most gorgeous pictures 7 myths about high blood pressure one must stop believing,TOI
"Delhi elections: In a rare four-cornered fight, Amanatullah on top in Okhla",https://timesofindia.indiatimes.com/elections/assembly-elections/delhi/news/delhi-elections-in-a-rare-four-cornered-fight-amanatullah-on-top-in-okhla/articleshow/118075828.cms,"These cookies may be set through our site by our advertising partners. They may be used by those companies to build a profile of your interests. They do not store directly personal information, but are based on uniquely identifying your browser and internet device. If you do not allow these cookies, you will experience less targeted advertising.",NEGATIVE,0.99,NEUTRAL,"These cookies may be set through our site by our advertising partners. They may be used by those companies to build a profile of your interests and show you relevant adverts on other sites. They do not store directly personal information, but are based on uniquely identifying your browser and internet device. If you do not allow these cookies, you will experience less targeted advertising. These cookies enable the website to provide enhanced functionality and personalisation. They may be set by us or by third party providers whose services we have added to our pages. If you do not allow these cookies then some or all of these services may not function properly. These cookies are set by a range of social media services that we have added to the site to enable you to share our content with your friends and networks. They are capable of tracking your browser across other sites and building up a profile of your interests. This may impact the content and messages you see on other websites you visit. If you do not allow these cookies you may not be able to use or see these sharing tools. These cookies allow us to count visits and traffic sources so we can measure and improve the performance of our site. They help us to know which pages are the most and least popular and see how visitors move around the site. All information these cookies collect is aggregated and therefore anonymous. If you do not allow these cookies we will not know when you have visited our site, and will not be able to monitor its performance. These cookies are necessary for the website to function and cannot be switched off in our systems. They are usually only set in response to actions made by you which amount to a request for services, such as setting your privacy preferences, logging in or filling in forms. You can set your browser to block or alert you about these cookies, but some parts of the site will not then work. These cookies do not store any personally identifiable information.",TOI
Delhi election results: 'Saffrun' continues in Rohini as Vijender Gupta secures facile hat-trick,https://timesofindia.indiatimes.com/elections/assembly-elections/delhi/news/delhi-election-results-saffrun-continues-in-rohini-as-vijender-gupta-secures-facile-hat-trick/articleshow/118075755.cms,"Kushagra Dixit writes on environmental issues, wildlife conservation, climate change, agriculture, human rights, and scientific research. His investigative coverage encompasses river contamination with emphasis on the Yamuna, air pollution, urban waste and their collective effects on public wellbeing. These cookies enable the website to provide enhanced functionality and personalisation. If you do not allow these cookies, you will experience less targeted advertising.",POSITIVE,0.99,NEUTRAL,"Kushagra Dixit writes on environmental issues, wildlife conservation, climate change, agriculture, human rights, and scientific research. His investigative coverage encompasses river contamination with emphasis on the Yamuna, air pollution, urban waste and their collective effects on public wellbeing.Read More These cookies may be set through our site by our advertising partners. They may be used by those companies to build a profile of your interests and show you relevant adverts on other sites. They do not store directly personal information, but are based on uniquely identifying your browser and internet device. If you do not allow these cookies, you will experience less targeted advertising. These cookies enable the website to provide enhanced functionality and personalisation. They may be set by us or by third party providers whose services we have added to our pages. If you do not allow these cookies then some or all of these services may not function properly. These cookies are set by a range of social media services that we have added to the site to enable you to share our content with your friends and networks. They are capable of tracking your browser across other sites and building up a profile of your interests. This may impact the content and messages you see on other websites you visit. If you do not allow these cookies you may not be able to use or see these sharing tools. These cookies allow us to count visits and traffic sources so we can measure and improve the performance of our site. They help us to know which pages are the most and least popular and see how visitors move around the site. All information these cookies collect is aggregated and therefore anonymous. If you do not allow these cookies we will not know when you have visited our site, and will not be able to monitor its performance. These cookies are necessary for the website to function and cannot be switched off in our systems. They are usually only set in response to actions made by you which amount to a request for services, such as setting your privacy preferences, logging in or filling in forms. You can set your browser to block or alert you about these cookies, but some parts of the site will not then work. These cookies do not store any personally identifiable information.",TOI
"Bihar: Opposition boycotts swearing-in, says it’s betrayal of mandate",https://timesofindia.indiatimes.com/elections/assembly-elections/bihar/oppn-boycotts-swearing-in-says-its-betrayal-of-mandate/articleshow/79252505.cms,"These cookies may be set through our site by our advertising partners. They may be used by those companies to build a profile of your interests. They do not store directly personal information, but are based on uniquely identifying your browser and internet device. If you do not allow these cookies, you will experience less targeted advertising.",NEGATIVE,0.99,NEUTRAL,"These cookies may be set through our site by our advertising partners. They may be used by those companies to build a profile of your interests and show you relevant adverts on other sites. They do not store directly personal information, but are based on uniquely identifying your browser and internet device. If you do not allow these cookies, you will experience less targeted advertising. These cookies enable the website to provide enhanced functionality and personalisation. They may be set by us or by third party providers whose services we have added to our pages. If you do not allow these cookies then some or all of these services may not function properly. These cookies are set by a range of social media services that we have added to the site to enable you to share our content with your friends and networks. They are capable of tracking your browser across other sites and building up a profile of your interests. This may impact the content and messages you see on other websites you visit. If you do not allow these cookies you may not be able to use or see these sharing tools. These cookies allow us to count visits and traffic sources so we can measure and improve the performance of our site. They help us to know which pages are the most and least popular and see how visitors move around the site. All information these cookies collect is aggregated and therefore anonymous. If you do not allow these cookies we will not know when you have visited our site, and will not be able to monitor its performance. These cookies are necessary for the website to function and cannot be switched off in our systems. They are usually only set in response to actions made by you which amount to a request for services, such as setting your privacy preferences, logging in or filling in forms. You can set your browser to block or alert you about these cookies, but some parts of the site will not then work. These cookies do not store any personally identifiable information.",TOI
"Bihar: LJP chief congratulates Nitish Kumar, BJP",https://timesofindia.indiatimes.com/elections/assembly-elections/bihar/ljp-chief-congratulates-nitish-bjp/articleshow/79252047.cms,"These cookies may be set through our site by our advertising partners. They may be used by those companies to build a profile of your interests. They do not store directly personal information, but are based on uniquely identifying your browser and internet device. If you do not allow these cookies, you will experience less targeted advertising.",NEGATIVE,0.99,NEUTRAL,"These cookies may be set through our site by our advertising partners. They may be used by those companies to build a profile of your interests and show you relevant adverts on other sites. They do not store directly personal information, but are based on uniquely identifying your browser and internet device. If you do not allow these cookies, you will experience less targeted advertising. These cookies enable the website to provide enhanced functionality and personalisation. They may be set by us or by third party providers whose services we have added to our pages. If you do not allow these cookies then some or all of these services may not function properly. These cookies are set by a range of social media services that we have added to the site to enable you to share our content with your friends and networks. They are capable of tracking your browser across other sites and building up a profile of your interests. This may impact the content and messages you see on other websites you visit. If you do not allow these cookies you may not be able to use or see these sharing tools. These cookies allow us to count visits and traffic sources so we can measure and improve the performance of our site. They help us to know which pages are the most and least popular and see how visitors move around the site. All information these cookies collect is aggregated and therefore anonymous. If you do not allow these cookies we will not know when you have visited our site, and will not be able to monitor its performance. These cookies are necessary for the website to function and cannot be switched off in our systems. They are usually only set in response to actions made by you which amount to a request for services, such as setting your privacy preferences, logging in or filling in forms. You can set your browser to block or alert you about these cookies, but some parts of the site will not then work. These cookies do not store any personally identifiable information.",TOI
"Bihar: Congress flays Shivanand Tiwari, RJD distances from his statement",https://timesofindia.indiatimes.com/elections/assembly-elections/bihar/congress-flays-shivanand-rjd-distances-from-his-statement/articleshow/79252061.cms,"These cookies may be set through our site by our advertising partners. They may be used by those companies to build a profile of your interests. They do not store directly personal information, but are based on uniquely identifying your browser and internet device. If you do not allow these cookies, you will experience less targeted advertising.",NEGATIVE,0.99,NEUTRAL,"These cookies may be set through our site by our advertising partners. They may be used by those companies to build a profile of your interests and show you relevant adverts on other sites. They do not store directly personal information, but are based on uniquely identifying your browser and internet device. If you do not allow these cookies, you will experience less targeted advertising. These cookies enable the website to provide enhanced functionality and personalisation. They may be set by us or by third party providers whose services we have added to our pages. If you do not allow these cookies then some or all of these services may not function properly. These cookies are set by a range of social media services that we have added to the site to enable you to share our content with your friends and networks. They are capable of tracking your browser across other sites and building up a profile of your interests. This may impact the content and messages you see on other websites you visit. If you do not allow these cookies you may not be able to use or see these sharing tools. These cookies allow us to count visits and traffic sources so we can measure and improve the performance of our site. They help us to know which pages are the most and least popular and see how visitors move around the site. All information these cookies collect is aggregated and therefore anonymous. If you do not allow these cookies we will not know when you have visited our site, and will not be able to monitor its performance. These cookies are necessary for the website to function and cannot be switched off in our systems. They are usually only set in response to actions made by you which amount to a request for services, such as setting your privacy preferences, logging in or filling in forms. You can set your browser to block or alert you about these cookies, but some parts of the site will not then work. These cookies do not store any personally identifiable information.",TOI
BJP gets 2 deputy CMs as diminished Nitish takes oath,https://timesofindia.indiatimes.com/elections/assembly-elections/bihar/bjp-gets-2-deputy-cms-as-diminished-nitish-takes-oath/articleshow/79253537.cms,"These cookies may be set through our site by our advertising partners. They may be used by those companies to build a profile of your interests. They do not store directly personal information, but are based on uniquely identifying your browser and internet device. If you do not allow these cookies, you will experience less targeted advertising.",NEGATIVE,0.99,NEUTRAL,"These cookies may be set through our site by our advertising partners. They may be used by those companies to build a profile of your interests and show you relevant adverts on other sites. They do not store directly personal information, but are based on uniquely identifying your browser and internet device. If you do not allow these cookies, you will experience less targeted advertising. These cookies enable the website to provide enhanced functionality and personalisation. They may be set by us or by third party providers whose services we have added to our pages. If you do not allow these cookies then some or all of these services may not function properly. These cookies are set by a range of social media services that we have added to the site to enable you to share our content with your friends and networks. They are capable of tracking your browser across other sites and building up a profile of your interests. This may impact the content and messages you see on other websites you visit. If you do not allow these cookies you may not be able to use or see these sharing tools. These cookies allow us to count visits and traffic sources so we can measure and improve the performance of our site. They help us to know which pages are the most and least popular and see how visitors move around the site. All information these cookies collect is aggregated and therefore anonymous. If you do not allow these cookies we will not know when you have visited our site, and will not be able to monitor its performance. These cookies are necessary for the website to function and cannot be switched off in our systems. They are usually only set in response to actions made by you which amount to a request for services, such as setting your privacy preferences, logging in or filling in forms. You can set your browser to block or alert you about these cookies, but some parts of the site will not then work. These cookies do not store any personally identifiable information.",TOI
"Nitish Kumar BJP-nominated CM, tired and politically 'belittled': Prashant Kishor",https://timesofindia.indiatimes.com/elections/assembly-elections/bihar/nitish-kumar-bjp-nominated-cm-tired-and-politically-belittled-prashant-kishor/articleshow/79249552.cms,"These cookies may be set through our site by our advertising partners. They may be used by those companies to build a profile of your interests. They do not store directly personal information, but are based on uniquely identifying your browser and internet device. If you do not allow these cookies, you will experience less targeted advertising.",NEGATIVE,0.99,NEUTRAL,"These cookies may be set through our site by our advertising partners. They may be used by those companies to build a profile of your interests and show you relevant adverts on other sites. They do not store directly personal information, but are based on uniquely identifying your browser and internet device. If you do not allow these cookies, you will experience less targeted advertising. These cookies enable the website to provide enhanced functionality and personalisation. They may be set by us or by third party providers whose services we have added to our pages. If you do not allow these cookies then some or all of these services may not function properly. These cookies are set by a range of social media services that we have added to the site to enable you to share our content with your friends and networks. They are capable of tracking your browser across other sites and building up a profile of your interests. This may impact the content and messages you see on other websites you visit. If you do not allow these cookies you may not be able to use or see these sharing tools. These cookies allow us to count visits and traffic sources so we can measure and improve the performance of our site. They help us to know which pages are the most and least popular and see how visitors move around the site. All information these cookies collect is aggregated and therefore anonymous. If you do not allow these cookies we will not know when you have visited our site, and will not be able to monitor its performance. These cookies are necessary for the website to function and cannot be switched off in our systems. They are usually only set in response to actions made by you which amount to a request for services, such as setting your privacy preferences, logging in or filling in forms. You can set your browser to block or alert you about these cookies, but some parts of the site will not then work. These cookies do not store any personally identifiable information.",TOI
NDA family will work together for progress of Bihar: PM Modi,https://timesofindia.indiatimes.com/elections/assembly-elections/bihar/nda-family-will-work-together-for-progress-of-bihar-pm-modi/articleshow/79247701.cms,"These cookies may be set through our site by our advertising partners. They may be used by those companies to build a profile of your interests. They do not store directly personal information, but are based on uniquely identifying your browser and internet device. If you do not allow these cookies, you will experience less targeted advertising.",NEGATIVE,0.99,NEUTRAL,"Congratulations to @NitishKumar Ji on taking oath as Bihar’s CM. I also congratulate all those who took oath as Min… https://t.co/gZaBOdy2bs These cookies may be set through our site by our advertising partners. They may be used by those companies to build a profile of your interests and show you relevant adverts on other sites. They do not store directly personal information, but are based on uniquely identifying your browser and internet device. If you do not allow these cookies, you will experience less targeted advertising. These cookies enable the website to provide enhanced functionality and personalisation. They may be set by us or by third party providers whose services we have added to our pages. If you do not allow these cookies then some or all of these services may not function properly. These cookies are set by a range of social media services that we have added to the site to enable you to share our content with your friends and networks. They are capable of tracking your browser across other sites and building up a profile of your interests. This may impact the content and messages you see on other websites you visit. If you do not allow these cookies you may not be able to use or see these sharing tools. These cookies allow us to count visits and traffic sources so we can measure and improve the performance of our site. They help us to know which pages are the most and least popular and see how visitors move around the site. All information these cookies collect is aggregated and therefore anonymous. If you do not allow these cookies we will not know when you have visited our site, and will not be able to monitor its performance. These cookies are necessary for the website to function and cannot be switched off in our systems. They are usually only set in response to actions made by you which amount to a request for services, such as setting your privacy preferences, logging in or filling in forms. You can set your browser to block or alert you about these cookies, but some parts of the site will not then work. These cookies do not store any personally identifiable information.",TOI
